Subject,Loc,LocO,Iteration,Sfe,Saa,Scpr,Scde,Tfe,Tb,BSH_MAV,TLAH_MAV,TLH_MAV,DA_MAV,DM_MAV,DP_MAV,BLH_RMS,BSH_ZC,BLH_ZC,TLAH_ZC,TLH_ZC,DA_ZC,DM_ZC,DP_ZC,BSH_SC,BLH_SC,DA_SC,DP_SC,Efe,dSfe,dSaa,dScpr,dTfe,dTb
10,1,7,25,60.12006137,22.60601674,0.000918906,0.004373667,13.7737676,0.30483842,1.06E-05,8.14E-06,3.89E-06,3.85E-05,1.93E-05,5.54E-06,2.85E-05,37,34,38,40,29,42,51,56,54,60,76,72.88543245,50.96560915,26.97753341,-0.014796982,-2.623983376,1.735515703
10,1,7,25,64.18305784,25.29759429,-0.000343322,0.005314167,13.60567198,0.410761081,1.29E-05,8.76E-06,4.19E-06,4.57E-05,2.12E-05,5.86E-06,3.73E-05,35,30,37,36,34,42,49,56,51,50,76,72.36621906,32.43221478,23.78469914,-0.012080792,-1.19703674,0.924123631
10,1,7,25,66.89161424,27.53046094,-0.001720367,0.005949611,13.58217552,0.504684583,1.45E-05,1.06E-05,5.02E-06,4.58E-05,2.59E-05,6.22E-06,4.03E-05,29,33,31,35,35,38,46,54,51,46,79,70.35476067,23.8727449,21.08908217,-0.015621048,0.310221012,0.955952575
10,1,7,86,6.003909937,7.491469679,-0.000426667,-2.80E-05,15.25858176,0.119883131,4.31E-05,6.69E-06,3.90E-06,1.26E-05,6.25E-06,2.86E-06,3.19E-05,26,23,29,30,21,19,34,43,40,58,88,35.33841847,24.89582724,12.72385094,0.01568186,3.003725052,1.044722093
10,1,7,86,10.4000259,8.661748533,0.002236012,0.000329235,15.28366387,0.239905565,4.80E-05,7.44E-06,4.35E-06,1.98E-05,9.17E-06,2.97E-06,3.15E-05,28,25,29,35,24,29,33,48,45,43,85,46.65914431,58.39673373,9.813543397,0.031834748,-1.678683223,1.119218147
10,1,7,86,18.34086353,9.394745911,0.005143733,0.000652611,14.96395604,0.305045008,4.38E-05,8.92E-06,4.69E-06,2.68E-05,1.25E-05,3.16E-06,3.96E-05,30,31,28,35,28,35,33,47,46,46,86,58.94692192,104.9814112,5.912268332,0.027149271,-4.419588229,0.414732289
10,1,7,86,31.05712269,10.02530957,0.006663839,0.001590778,14.41411986,0.307910209,3.49E-05,1.03E-05,5.01E-06,3.61E-05,2.19E-05,3.90E-06,4.38E-05,32,29,28,34,31,35,39,44,36,52,84,68.52445708,142.1339836,6.727193007,0.001917602,-5.512023759,-0.470670561
10,1,7,86,45.26542356,11.12347556,0.005400478,0.002979056,13.88643358,0.196920089,2.21E-05,9.40E-06,4.77E-06,4.15E-05,2.72E-05,4.74E-06,3.81E-05,30,28,39,33,32,39,42,52,45,52,82,71.88095287,136.728193,16.58959477,-0.023102526,-5.503936393,-0.967709384
10,1,7,86,56.95525497,13.56039176,0.002532783,0.004365111,13.37500876,0.222450714,1.49E-05,8.88E-06,4.33E-06,4.28E-05,2.49E-05,5.01E-06,3.62E-05,30,31,44,36,33,36,43,60,56,56,78,70.76662393,98.97026827,31.70352529,-0.030601701,-4.995283183,1.20365095
10,1,7,86,64.74638579,17.2967478,-0.000520978,0.005728444,12.95025722,0.453763019,1.78E-05,9.71E-06,4.79E-06,4.78E-05,2.35E-05,5.67E-06,4.09E-05,34,37,43,38,34,35,46,58,59,59,80,68.11142011,61.41774051,41.32531592,-0.028784598,-3.09054472,2.461941172
10,1,7,86,69.26318693,21.17939246,-0.00307065,0.006602333,12.71526786,0.606694308,1.84E-05,8.77E-06,4.59E-06,4.47E-05,2.08E-05,6.32E-06,4.14E-05,36,36,34,42,32,42,43,48,56,59,85,65.7395969,33.14930154,36.71074922,-0.021597031,-1.582729139,1.028960169
10,0,5,13,8.020843039,8.527432269,0.003857011,0.00013,15.82486022,0.102293488,3.95E-05,5.72E-06,3.64E-06,1.27E-05,5.64E-06,2.87E-06,3.51E-05,23,17,30,33,24,28,36,38,40,59,80,30.67849399,13.98192402,3.579500139,0.010682933,2.59925159,0.468989332
