Real_Goal,Time,Cost,Prob,Results
1,150303705,88/54/66/,0.2300238151831939/0.42682097628084636/0.3431552085359597/,1/
2,139191995,51/50/50/,0.32899036670303383/0.33550481664848303/0.33550481664848303/,0/1/2/
2,150235116,70/56/50/,0.2634313537057762/0.34664549195988276/0.389923154334341/,2/
2,167821020,100/52/50/,0.16055239618593237/0.4114949779830611/0.42795262583100646/,1/2/
2,149848397,289/62/50/,0.005124018254296675/0.43918438605822124/0.5556915956874822/,2/
2,145151922,972/65/50/,8.068533165933047E-9/0.42699609562942986/0.5730038963020369/,2/
0,141128618,50/50/51/,0.33550481664848303/0.33550481664848303/0.32899036670303383/,0/1/2/
0,142444543,50/54/70/,0.3845911793637106/0.3555797392470581/0.2598290813892313/,0/1/
0,147097858,50/65/100/,0.4716196366127737/0.3514456790878004/0.17693468429942596/,0/
0,143376509,50/90/163/,0.6387688774536052/0.2915550880776966/0.06967603446869822/,0/
0,139427181,50/239/528/,0.9759301018258641/0.02398691837234689/8.297980178892695E-5/,0/
1,135685634,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
1,150050817,51/51/61/,0.3539756640629704/0.3539756640629704/0.2920486718740592/,0/1/
1,166240530,57/57/80/,0.374162509579134/0.374162509579134/0.2516749808417321/,0/1/
1,171496039,104/56/58/,0.17977649730131334/0.4173059562763388/0.4029175464223478/,1/2/
1,164538858,285/63/58/,0.010996406925534156/0.4735608619600007/0.5154427311144651/,1/2/
2,132225807,51/50/50/,0.32899036670303383/0.33550481664848303/0.33550481664848303/,0/1/2/
2,142521581,70/54/50/,0.2598290813892312/0.35557973924705805/0.38459117936371057/,1/2/
2,156200890,100/53/56/,0.1770992153326042/0.42287663120224145/0.4000241534651544/,1/2/
2,159181900,163/62/50/,0.05742742696138432/0.4160952363920812/0.5264773366465344/,2/
2,156209000,528/71/50/,5.114168154474112E-5/0.39846867396634783/0.6014801843521074/,2/
0,139783827,51/50/50/,0.32899036670303383/0.33550481664848303/0.33550481664848303/,0/1/2/
0,147967237,54/54/52/,0.3291144278487413/0.3291144278487413/0.34177114430251737/,0/1/2/
0,152717953,65/50/59/,0.28845137556966705/0.3870849494571104/0.32446367497322254/,1/
0,162132924,53/50/74/,0.3672328152098724/0.38948273964879854/0.243284445141329/,0/1/
0,166439214,53/56/171/,0.4858103598520745/0.4595569099950729/0.054632730152852645/,0/1/
1,141130948,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
1,153813434,50/50/61/,0.3563806961381494/0.3563806961381494/0.28723860772370124/,0/1/
1,155323868,50/50/80/,0.3913425061532677/0.3913425061532677/0.2173149876934646/,0/1/
1,139006227,50/50/59/,0.35233307870561026/0.35233307870561026/0.2953338425887796/,0/1/
1,147603897,60/50/99/,0.3728431299473082/0.4536092748528392/0.17354759519985263/,1/
2,138325752,51/50/50/,0.32899036670303383/0.33550481664848303/0.33550481664848303/,0/1/2/
2,162883408,70/50/50/,0.25250358864793193/0.37374820567603406/0.37374820567603406/,1/2/
2,153216401,163/54/50/,0.05363702949812097/0.4546348550355403/0.4917281154663389/,1/2/
2,147022851,528/88/50/,5.765388326708309E-5/0.32187179214477596/0.6780705539719569/,2/
2,168166637,1779/222/50/,1.8277555183040827E-15/0.03316447822464379/0.9668355217753544/,2/
0,174171481,51/50/51/,0.33114761124101855/0.3377047775179629/0.33114761124101855/,0/1/2/
0,146577305,53/61/54/,0.35162297265916614/0.3032056696636881/0.34517135767714574/,0/2/
0,142070273,53/53/65/,0.35704882541239213/0.35704882541239213/0.2859023491752157/,0/1/
0,151637978,57/59/62/,0.3467996323838812/0.3350448576393077/0.318155509976811/,0/1/2/
0,153560089,57/75/110/,0.4685608799436255/0.34354606661232273/0.18789305344405174/,0/
1,144611921,51/50/50/,0.32899036670303383/0.33550481664848303/0.33550481664848303/,0/1/2/
1,148904582,70/54/50/,0.2598290813892312/0.35557973924705805/0.38459117936371057/,1/2/
1,146362660,100/65/50/,0.17693468429942596/0.3514456790878004/0.4716196366127737/,2/
1,141377153,289/53/59/,0.006629960395817848/0.5242502785271786/0.4691197610770035/,1/
1,146719388,71/66/120/,0.3908167269653093/0.42109800045871815/0.1880852725759727/,0/1/
2,136707273,51/50/50/,0.32899036670303383/0.33550481664848303/0.33550481664848303/,0/1/2/
2,139504194,70/54/50/,0.2598290813892312/0.35557973924705805/0.38459117936371057/,1/2/
