Obs,Real_Goal,STime,Cost,Prob,Results
1,0,118283960/15196719/12211958/,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
3,0,129678457/17804097/12640429/,52/54/56/,0.34598804793399013/0.3331751680519487/0.32083678401406124/,0/1/2/
4,0,131408835/15610797/19409206/,52/53/68/,0.3675483168595204/0.36067845676126264/0.27177322637921697/,0/1/
5,0,138917106/17343360/20217720/,60/62/93/,0.39216914802299097/0.3795196452114072/0.22831120676560177/,0/1/
7,0,141698274/17810260/16264111/,63/53/60/,0.3066949335272283/0.3690893430637422/0.32421572340902943/,1/
1,1,124934279/15274408/12974175/,50/51/50/,0.33550481664848303/0.32899036670303383/0.33550481664848303/,0/1/2/
3,1,124954246/18468916/18169819/,50/50/53/,0.3398039776495762/0.3398039776495762/0.32039204470084753/,0/1/2/
4,1,123536434/21308344/19176149/,50/56/60/,0.3688733550940163/0.3279320148754662/0.3031946300305175/,0/
6,1,129044314/26639327/14647313/,50/100/64/,0.4683602728813493/0.17571188853761577/0.3559278385810349/,0/
8,1,133992577/23458220/13405814/,62/65/64/,0.3422021244149704/0.3262886835672208/0.33150919201780893/,0/1/2/
1,2,122133910/18245597/11671224/,50/51/50/,0.33550481664848303/0.32899036670303383/0.33550481664848303/,0/1/2/
2,2,119394243/18044775/13273519/,50/56/50/,0.3461393630355498/0.3077212739289003/0.3461393630355498/,0/2/
3,2,129364573/22422180/12389884/,54/51/54/,0.32686265350037963/0.34627469299924085/0.32686265350037963/,0/1/2/
5,2,134040050/21170670/15878680/,90/51/53/,0.19401943244781886/0.41073914171521425/0.3952414258369669/,1/2/
6,2,145886186/18693285/17530010/,141/60/63/,0.1195468707001591/0.4510496266483543/0.4294035026514866/,1/2/
1,0,113295939/16437664/9256478/,51/50/51/,0.33114761124101855/0.3377047775179629/0.33114761124101855/,0/1/2/
2,0,120026685/20707760/7550416/,50/50/56/,0.3461393630355498/0.3461393630355498/0.3077212739289003/,0/1/
