Obs,Real_Goal,STime,Cost,Prob,Results
23,1,138116849/57179165/8924626/,108/2385/73616/,0.9999999991534978/8.46502248838691E-10/1.3127328975461688E-293/,0/
2,2,95551752/28637447/14414216/,56/56/50/,0.32001566423292443/0.32001566423292443/0.3599686715341511/,2/
4,2,94831105/34560032/13781348/,100/100/50/,0.2143392379333584/0.2143392379333584/0.5713215241332831/,2/
7,2,96717871/44459600/12621214/,528/528/50/,8.501192153916424E-5/8.501192153916424E-5/0.9998299761569216/,2/
10,2,99094054/41436581/8661988/,3221/75/50/,6.160280729009039E-28/0.3798473776772155/0.6201526223227845/,2/
13,2,95434283/65627318/7842136/,17760/255/50/,1.5183837550854107E-151/0.017643135860322384/0.9823568641396776/,2/
2,0,104936612/28621738/9914820/,53/51/51/,0.3248418044242478/0.3375790977878761/0.3375790977878761/,0/1/2/
5,0,109913482/43209534/8598762/,59/59/59/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
8,0,109026588/42096872/10535988/,59/80/186/,0.547909031101413/0.3861049684664859/0.06598600043210116/,0/
12,0,107558151/56249895/12383087/,59/108/1818/,0.693528308197832/0.3064716918020396/1.2852796504956264E-13/,0/
16,0,118044635/49111924/11128581/,88/152/16527/,0.6724090476531628/0.32759095234683727/4.0740555061665E-81/,0/
3,1,106053502/37898936/5167703/,70/50/70/,0.2873422951834218/0.4253154096331565/0.2873422951834218/,1/
8,1,128860219/47946814/5425068/,972/50/972/,1.4081113567947132E-8/0.9999999718377728/1.4081113567947132E-8/,1/
13,1,121929243/47690427/8265009/,128/61/128/,0.20215987786181921/0.5956802442763615/0.20215987786181921/,1/
19,1,122099466/77279424/12359681/,2066/75/344/,4.075679344862311E-12/0.9717902872265483/0.028209712769376054/,1/
26,1,139124845/66405135/13580318/,65831/75/1224/,0.0/0.9999997282603299/2.7173967004777175E-7/,1/
2,2,136852934/35496912/12700911/,50/56/56/,0.35996867153415113/0.3200156642329245/0.3200156642329245/,0/
5,2,140725020/27879066/10393122/,70/50/53/,0.2580124274623046/0.3819022229446799/0.36008534959301564/,1/2/
8,2,121910289/41454518/11097369/,277/120/59/,0.019037193983143005/0.260619453380736/0.7203433526361209/,2/
12,2,141897980/35105424/10878826/,83/71/59/,0.2693074991777379/0.3289329222889067/0.4017595785333554/,2/
16,2,119386840/42368806/8701200/,510/449/59/,5.42831306612851E-4/0.001500367368011103/0.997956801325376/,2/
2,0,122786306/39750602/8878536/,50/50/51/,0.33550481664848303/0.33550481664848303/0.32899036670303383/,0/1/2/
5,0,105356280/38631628/9733749/,70/57/55/,0.28023290674802437/0.353457737722835/0.3663093555291407/,1/2/
8,0,125354125/45243448/9854440/,277/57/55/,0.00956782783415/0.48637388152878563/0.5040582906370644/,1/2/
11,0,149853090/42747846/10000820/,1587/57/108/,2.4707763925652696E-12/0.7066792872142013/0.2933207127833279/,1/
15,0,121947918/39437143/12846371/,180/84/961/,0.24426357400197002/0.7557114536821007/2.4972315929226093E-5/,1/
2,1,117709382/24926631/8846042/,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
5,1,111239989/23020415/10398102/,70/57/54/,0.27744809272701987/0.3514254152439174/0.37112649202906284/,1/2/
7,1,172116846/33409839/9762183/,161/50/66/,0.06151372802783827/0.5422520651065348/0.396234206865627/,1/
10,1,132106772/30174641/16683854/,887/50/62/,4.164146634045881E-8/0.5585536114487358/0.4414463469097977/,1/
14,1,186493525/31011062/25632333/,8613/50/222/,1.1653530811169927E-73/0.9668355217753561/0.03316447822464385/,1/
